,Action 1,Action 2,Action 3,Action 4,Action 5,Action 6,Action 7,Action 8,Action 9,Action 10,Action 11,Action 12,Action 13,Action 14,Action 15,Action 16,Action 17,Action 18,Action 19,Action 20,Action to Next Point
1088,-2,-2,-2,-1,2,1,0,-1,-2,-1,1,2,2,1,-1,-1,1,-1,3,2,1
1089,2,2,2,2,-2,-2,2,2,2,1,-2,-3,-2,3,3,3,3,2,-3,-3,2
1090,2,-2,-2,-2,-1,-2,-2,-1,1,1,0,1,1,1,0,0,2,2,2,2,3
1091,2,2,3,2,-2,-2,-3,2,2,3,2,1,-2,1,2,3,3,-2,-2,-3,-2
1092,0,-2,-1,-1,2,2,3,2,2,-1,-2,-2,1,2,2,-1,-2,-3,-2,-2,2
1093,2,2,0,-1,-1,0,0,0,-3,-2,-1,1,3,2,-2,-2,-3,-2,2,1,1
1094,-3,-3,-3,-1,-1,-3,-3,-2,0,2,3,3,3,3,-1,-1,-2,-1,-3,-2,-2
1095,2,1,-2,-1,-2,2,3,3,3,0,-3,-3,-2,3,2,2,-2,-3,-2,0,2
1096,2,2,2,-2,-2,0,1,2,2,-2,-2,-2,3,3,3,3,2,-3,-3,-3,-1
1097,-2,-1,-1,2,2,0,-1,0,1,2,2,0,-2,0,-3,-1,0,1,2,2,1
1098,-2,1,0,3,1,0,-1,0,2,2,-2,-2,-3,-2,-2,-1,3,2,2,0,-3
1099,3,3,3,-2,-2,-3,-3,1,-2,0,-3,1,-1,1,2,2,2,2,0,1,1
1100,-2,-2,-3,-2,1,2,1,-1,-2,-3,-2,0,2,1,1,0,-2,0,1,2,2
1101,1,0,-2,-2,-1,3,3,2,2,-3,-2,-2,0,-1,-1,-2,-3,-2,-2,1,-1
1102,2,-1,-2,-2,-2,0,3,2,0,-2,-3,-2,-1,1,2,2,0,-1,-1,2,2
1103,-2,-2,2,1,1,-2,-2,-2,-1,0,2,2,2,-1,0,1,2,2,2,2,1
1104,1,0,3,1,0,-1,0,2,2,-2,-2,-3,-2,-2,-1,3,2,2,0,-3,-2
1105,3,2,2,-2,-2,-3,1,2,3,2,2,-2,-3,1,2,2,2,0,-2,-2,-2
1106,-2,-2,-2,-2,-1,1,2,0,-1,-2,-1,1,1,0,-1,-2,-2,-2,1,2,2
1107,-3,-3,-3,-3,3,1,-2,-3,-2,1,3,3,-2,-3,-3,-3,-3,2,0,1,-3
1108,2,-1,-2,-2,-2,-1,1,1,2,-1,-2,1,-1,3,2,2,-2,-2,-2,-1,1
1109,-1,-2,-2,-2,-1,2,3,3,-2,-2,-2,0,3,2,2,-2,-3,-2,0,2,3
1110,-3,0,2,-2,-3,-3,-3,-3,-2,2,2,3,2,0,0,0,1,0,1,1,0
1111,-2,-2,1,1,1,0,-1,-2,-1,2,2,2,2,-2,-2,-2,1,2,3,3,-2
1112,-1,1,1,-1,-2,-2,-1,0,2,2,1,-2,-1,0,2,2,2,2,-2,-2,1
1113,-2,-2,-2,-2,2,1,3,1,0,-2,-2,0,1,2,0,-1,-1,-1,1,1,0
1114,2,-3,-3,0,-1,-3,-3,-1,-3,-1,0,3,3,2,2,2,-1,-2,-1,-2,-1
1115,-3,-3,-2,3,2,2,-2,-3,-2,0,2,2,2,1,-2,-2,-2,2,2,0,1
1116,2,2,-1,-2,-2,-2,-1,2,2,2,0,-1,-2,2,2,2,2,-2,-2,-2,-2
1117,2,-2,-3,-3,1,2,2,1,-2,-3,-3,2,2,3,3,-1,1,0,0,0,1
1118,3,2,1,-1,-3,-2,-1,0,2,2,0,-2,-2,0,2,2,1,0,-2,-1,1
1119,0,2,2,2,1,-2,-2,-2,2,2,0,1,-3,-2,0,2,3,2,2,-1,1
1120,-1,2,2,1,-2,-1,-1,2,3,3,1,-2,-3,-2,-2,-1,-2,-2,-3,-2,-2
1121,-3,0,0,1,0,-2,-2,-2,-1,2,2,3,2,2,-1,-2,0,1,1,-1,-2
1122,-3,0,3,3,3,3,-3,-3,-3,1,2,2,-2,-2,-3,-2,-1,1,1,0,-1
1123,-1,0,2,1,-2,-2,-2,1,1,1,0,-1,-2,-1,2,2,2,2,-2,-2,-2
1124,-3,-2,2,2,2,-1,-1,-2,2,2,2,-1,-2,-3,-2,0,2,1,-2,0,-3
1125,2,2,0,-1,-1,0,2,2,2,2,-1,-1,0,0,3,2,2,-1,0,1,2
